date,time,DOY,ALB_1_1_1,CHK__1_1_1,DAQM_T_1_1_1,VIN_1_1_1,DRM_POWER_STATUS_1_1_1,DRM_V_BATTERY_1_1_1,DRM_V_MAIN_1_1_1,LWIN_1_1_1,LWOUT_1_1_1,PPFD_1_1_1,P_RAIN_1_1_1,RH_1_1_1,RN_1_1_1,SHF_1_1_1,SHF_2_1_1,SHF_3_1_1,SWC_1_2_1,SWC_1_3_1,SWC_1_4_1,SWIN_1_1_1,SWOUT_1_1_1,TA_1_1_1,TCNR4_C_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[%],[OTHER],[C],[V],[OTHER],[V],[V],[W/m^2],[W/m^2],[µmol/m^2/s],[m],[%],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[m^3/m^3],[m^3/m^3],[m^3/m^3],[W/m^2],[W/m^2],[K],[C],[K],[K],[K]
2022-07-01,13:30,182.5624,0.598158,102.6,6.13568,12.2137,15,0,11.4115,-5.62067,9.68556,150.459,0,87.4959,9.31213,-3.89029,-7.38727,-15.8744,0.418178,0.428411,0.422702,61.2469,36.6286,272.779,-156.681,-9999,-9999,-9999
2022-07-01,14:00,182.5832,0.56462,133.367,6.9599,12.2139,15,0,11.419,-3.61696,9.43328,139.099,0,84.4385,11.8134,-3.88732,-4.49592,-13.668,0.418053,0.428502,0.422546,57.044,32.1804,273.437,-156.522,-9999,-9999,-9999
2022-07-01,14:30,182.604,0.502925,115.7,7.65677,12.2139,15,0,11.4081,-15.5108,8.04822,151.015,0,84.3999,10.0551,-3.887,-2.05614,-11.7722,0.417836,0.428623,0.422365,67.5754,33.9613,273.885,-156.44,-9999,-9999,-9999
2022-07-01,15:00,182.6249,0.520983,116.767,7.97813,12.2141,15,0,11.4093,-31.7742,3.73207,102.479,0,82.4259,-15.7741,-3.8857,-2.97803,-10.2283,0.417831,0.428517,0.422511,41.2075,21.4753,273.856,-156.367,-9999,-9999,-9999
2022-07-01,15:30,182.6457,0.696633,106.267,7.81797,12.2141,15,0,11.4062,-37.5832,3.10171,80.4021,0,86.5558,-33.3603,-3.88295,-6.71868,-9.00908,0.418133,0.428513,0.422716,22.7245,15.3999,273.164,-156.483,-9999,-9999,-9999
2022-07-01,16:00,182.6665,0.673639,132.233,7.27682,12.2139,15,0,11.4146,-36.3842,2.51651,54.5325,0,88.8043,-33.6644,-3.88043,-10.7855,-8.09959,0.418115,0.42844,0.422747,15.8457,10.6094,272.581,-156.596,-9999,-9999,-9999
2022-07-01,16:30,182.6873,0.503453,120.767,6.59193,12.2137,15,0,11.4087,-27.9583,2.69795,46.9576,0,89.8043,-20.3232,-3.87928,-13.7171,-7.56746,0.418095,0.428423,0.422756,20.7787,10.4457,272.294,-156.608,-9999,-9999,-9999
2022-07-01,17:00,182.7082,-0.863378,130.5,6.14766,12.2138,15,0,11.4025,-27.158,2.7248,21.5799,0,84.9959,-29.1566,-3.875,-14.865,-7.60154,0.418096,0.428425,0.422773,5.58384,4.85763,272.444,-156.711,-9999,-9999,-9999
2022-07-01,17:30,182.729,-4.69319,143.267,5.86458,12.2136,15,0,11.3997,-16.0042,3.5005,4.87519,0,86.8925,-21.9231,-3.87377,-16.223,-8.22116,0.418094,0.428422,0.422763,-1.17921,1.23923,271.948,-156.757,-9999,-9999,-9999
2022-07-01,18:00,182.7498,0.0976693,120.367,5.66823,12.2135,15,0,11.4156,-15.3303,4.79329,0.251871,0,90.2425,-22.583,-3.86844,-16.576,-9.17788,0.418089,0.428421,0.422753,-2.69035,-0.230915,271.309,-156.815,-9999,-9999,-9999
2022-07-01,18:30,182.7707,-0.254088,141.767,5.33073,12.2138,15,0,11.4121,-13.4588,5.53751,0.00141228,0,89.8554,-21.6037,-3.86857,-18.1259,-10.2696,0.418084,0.428419,0.422748,-2.10764,0.499775,270.959,-156.851,-9999,-9999,-9999
2022-07-01,19:00,182.7915,-0.333406,111.667,5.03463,12.2139,15,0,11.4031,-10.4941,4.75802,-0.00195999,0,86.6203,-17.9825,-3.86345,-18.8519,-11.4856,0.41809,0.428416,0.422757,-2.08389,0.646496,271.436,-156.818,-9999,-9999,-9999
2022-07-01,19:30,182.8123,-0.366284,130.2,5.06484,12.214,15,0,11.409,-7.70517,5.66399,-0.00195748,0,86.8277,-15.9443,-3.85767,-18.1126,-12.7352,0.418099,0.428415,0.422766,-1.92957,0.645581,271.59,-156.932,-9999,-9999,-9999
2022-07-01,20:00,182.8332,-0.30109,114.133,5.2737,12.2141,15,0,11.405,-7.25731,6.36089,-0.00213225,0,85.0306,-15.8859,-3.86359,-16.9429,-13.7122,0.418109,0.428415,0.422756,-1.79642,0.471322,271.952,-156.823,-9999,-9999,-9999
2022-07-01,20:30,182.854,-0.316515,132.167,5.475,12.214,15,0,11.4053,-5.17781,6.26074,-0.00204222,0,84.2489,-13.2489,-3.88055,-16.2585,-14.2295,0.418123,0.428407,0.422743,-1.49685,0.31349,272.091,-156.776,-9999,-9999,-9999
2022-07-01,21:00,182.8748,-0.169343,153.033,5.66901,12.2141,15,0,11.4075,-7.29882,6.40038,-0.00203619,0,83.2684,-15.8759,-3.85205,-15.707,-14.3834,0.418121,0.428404,0.422744,-1.86162,0.315134,272.256,-156.779,-9999,-9999,-9999
2022-07-01,21:30,182.8956,-0.282154,128.6,5.83203,12.2139,15,0,11.4081,-3.49356,6.88275,-0.00205983,0,85.1901,-12.1774,-3.83577,-15.2014,-14.3457,0.418132,0.428402,0.422757,-1.48574,0.315344,272.049,-156.713,-9999,-9999,-9999
2022-07-01,22:00,182.9165,0.00221465,145.633,5.96589,12.2139,15,0,11.4118,-5.81589,6.764,-0.00206134,0,85.2432,-14.026,-3.83664,-14.3713,-14.175,0.418142,0.428397,0.42276,-1.4472,-0.0010942,272.109,-156.794,-9999,-9999,-9999
2022-07-01,22:30,182.9373,-0.23353,123.7,6.025,12.2139,15,0,11.399,-14.983,5.0706,-0.0021232,0,85.1012,-22.9504,-3.83897,-14.5903,-13.8882,0.418146,0.428404,0.422769,-2.52718,0.369702,272.245,-156.767,-9999,-9999,-9999
2022-07-01,23:00,182.9581,0.296474,129.1,6.05417,12.2138,15,0,11.3897,-19.9922,4.92445,-0.0020807,0,75.7666,-25.8889,-3.84,-15.5244,-13.7227,0.418154,0.428407,0.422785,-0.569729,0.402546,273.848,-156.681,-9999,-9999,-9999
2022-07-01,23:30,182.979,0.0961453,136.8,6.69688,12.2135,15,0,11.4006,-25.0067,1.7238,-0.0019527,0,71.0094,-29.3783,-3.83838,-15.2617,-13.8283,0.418161,0.428409,0.422777,-3.08504,-0.437301,274.642,-156.627,-9999,-9999,-9999
2022-07-02,00:00,183,0.0334253,145.167,6.95156,12.2137,15,0,11.4075,-18.1292,3.53837,-0.00208422,0,80.9886,-24.7822,-3.83815,-16.3718,-14.0437,0.41816,0.428408,0.422765,-3.25167,-0.137028,272.685,-156.556,-9999,-9999,-9999
2022-07-02,00:30,183.0208,1.63293,129.8,6.63464,12.2143,15,0,11.4056,-7.7477,5.86151,-0.00200576,0,81.4845,-16.006,-3.83965,-16.4476,-14.3785,0.41816,0.428404,0.422781,-1.62241,0.774411,272.683,-156.656,-9999,-9999,-9999
2022-07-02,01:00,183.0416,2.40079,140.2,6.67135,12.2143,15,0,11.394,-7.10503,5.92239,-0.00213854,0,67.9593,-14.3649,-3.84127,-14.6878,-14.6135,0.41817,0.428404,0.422789,-0.791897,0.545562,274.644,-156.589,-9999,-9999,-9999
2022-07-02,01:30,183.0624,0.123338,143.5,7.16823,12.2143,15,0,11.3969,-10.1939,4.49804,-0.00208548,0,65.9691,-16.8945,-3.8405,-13.3149,-14.4433,0.418173,0.428409,0.422801,-2.55941,-0.356896,274.571,-156.513,-9999,-9999,-9999
